repo_full_name,change_request_acceptance_ratio,bus_factor,bus_factor_no_bots,bot_contributor_count,bot_commit_count,contribution_types,organizational_diversity,newcomer_friendly_labels,total_labels,release_frequency_per_month,fork_count,burstiness_cv,burstiness_mean,burstiness_std,median_defect_resolution_days,osi_approved_license,elephant_factor,elephant_factor_no_bots,contributor_new_count,contributor_casual_count,contributor_regular_count,median_time_to_first_response_issues_hours,median_time_to_first_response_prs_hours,time_to_first_response_issues_sample_size,time_to_first_response_prs_sample_size,readme_last_updated,contributing_last_updated,stale_issue_ratio,stale_issue_count,open_issue_count,median_pr_review_turnaround_hours,avg_review_comments_per_pr,herfindahl_hirschman_index,hhi_no_bots,hhi_known_orgs_only,unknown_org_contributor_count,contributor_org_types,dora_deployment_frequency_per_month,dora_median_lead_time_days,dora_change_failure_rate,core_contributor_count,periphery_contributor_count,core_periphery_ratio,network_density,avg_degree_centrality
codeforamerica/asap_pdf,0.6851,1,1,1,93,code_commits=500;pull_requests=435;issues=0,Unknown=4;Code for America=1,good first issue;help wanted,14,,7,1.07,14.76,15.81,,True,1,1,0,0,0,46.3,,4,100,2026-04-09T15:00:06+00:00,,1.0,3,3,22.3,0.46,6343.8,6087.5,10000.0,4,government=1;academic=0;nonprofit=0;company=2;unknown=2,,,0.0034,1,3,0.25,0.5,0.5
codeforamerica/cmr-maryland-eligibility-determination,1.0,1,1,0,0,code_commits=49;pull_requests=19;issues=0,Unknown=2,good first issue;help wanted,9,,0,1.31,6.12,8.04,,False,1,1,0,0,0,,,0,19,2025-11-26T19:41:37+00:00,,,0,0,,0.0,10000.0,10000.0,,2,government=0;academic=0;nonprofit=0;company=0;unknown=2,,,0.0,0,0,,,
codeforamerica/document-transfer-service,0.75,1,1,0,0,code_commits=13;pull_requests=16;issues=0,codeforamerica=2,good first issue;help wanted,10,,1,0.47,1.44,0.68,,True,1,1,0,0,0,,52.5,1,16,2024-10-02T17:41:26+00:00,,1.0,1,1,47.0,0.5,10000.0,10000.0,10000.0,0,government=0;academic=0;nonprofit=0;company=2;unknown=0,,,0.0,1,4,0.2,0.4,0.4
codeforamerica/efiler-api,0.6875,2,2,1,43,code_commits=131;pull_requests=160;issues=0,Unknown=10,good first issue;help wanted,12,,0,0.83,5.7,4.75,,True,1,1,0,0,0,,94.4,0,100,2025-08-14T19:44:12+00:00,,,0,0,19.2,0.12,10000.0,3347.1,,10,government=0;academic=0;nonprofit=1;company=3;unknown=6,,,0.0182,6,7,0.4615,0.1923,0.1923
codeforamerica/form-flow,0.8303,1,1,2,406,code_commits=500;pull_requests=1196;issues=0,Unknown=3;codeforamerica=1;Code for America=2,good first issue;help wanted,15,3.06,0,0.61,9.02,5.53,,False,1,1,0,0,0,,,0,100,2026-01-30T19:25:11+00:00,,,0,0,5.5,0.02,7589.4,6081.9,8579.9,3,government=0;academic=0;nonprofit=0;company=4;unknown=2,2.39,6.1,0.004,0,4,0.0,0.3333,0.3333
codeforamerica/pya,0.7055,2,2,1,92,code_commits=266;pull_requests=343;issues=0,Unknown=10;Code for America=1,good first issue;help wanted,13,5.0,0,0.94,6.33,5.92,,False,1,1,0,0,0,,,0,100,2025-08-05T20:10:41+00:00,,,0,0,1.6,0.17,9885.7,3810.9,10000.0,10,government=0;academic=0;nonprofit=0;company=6;unknown=5,3.07,0.2,0.0331,4,6,0.4,0.3333,0.3333
codeforamerica/tax-benefits-backend,0.9227,3,3,0,0,code_commits=194;pull_requests=207;issues=0,Unknown=11;codeforamerica=2,good first issue;help wanted,10,,0,0.7,3.42,2.4,,True,1,1,0,0,0,,9.2,0,100,2025-01-08T20:43:09+00:00,,,0,0,0.5,0.43,6382.2,1706.0,10000.0,11,government=0;academic=0;nonprofit=1;company=6;unknown=6,,,0.0052,6,8,0.4286,0.3626,0.3626
codeforamerica/vita-min,0.8445,4,4,3,25,code_commits=500;pull_requests=6314;issues=0,Code for America=2;Unknown=16;newjersey=1,help wanted,11,13.03,14,0.59,5.5,3.23,,True,1,1,0,0,0,,18.0,3,100,2024-11-27T20:13:44+00:00,,,0,0,20.0,0.38,5841.9,1703.7,8065.0,16,government=0;academic=0;nonprofit=0;company=8;unknown=12,11.85,1.0,0.0161,1,6,0.1429,0.4762,0.4762
CodeForAfrica/academy.AFRICA,0.2222,2,2,0,0,code_commits=500;pull_requests=9;issues=0,Unknown=1;codefor=1;CodeForAfrica=1,good first issue;help wanted,10,,0,0.9,6.73,6.03,,False,1,1,0,0,0,2.3,0.7,34,9,2024-09-09T09:34:16+00:00,,0.7059,12,17,,0.0,4979.0,4979.0,9916.0,1,government=0;academic=0;nonprofit=0;company=3;unknown=2,,,0.0,0,0,,,
CodeForAfrica/actNOW,0.7836,1,1,2,250,code_commits=500;pull_requests=1160;issues=0,CodeForAfrica=1,good first issue;help wanted,13,,1,0.77,3.69,2.84,,False,1,1,0,0,0,,,1,100,2021-04-23T19:38:00+00:00,,1.0,1,1,,0.0,10000.0,10000.0,10000.0,0,government=0;academic=0;nonprofit=0;company=1;unknown=0,,,0.0011,0,0,,,
CodeForAfrica/Dominion.AFRICA,0.8349,2,2,1,29,code_commits=500;pull_requests=109;issues=0,CodeForAfrica=2;Unknown=4;TeneryResearch=2;nativecoders-se=1,good first issue;help wanted,11,,0,1.33,11.04,14.68,,False,2,2,0,0,0,,21.6,0,100,2019-11-11T05:51:53+00:00,,,0,0,3.2,0.67,3600.4,2652.6,5013.4,4,government=0;academic=0;nonprofit=0;company=5;unknown=5,0.01,,0.0549,1,7,0.125,0.4643,0.4643
CodeForAfrica/GenderGap.AFRICA,0.8636,3,3,2,16,code_commits=254;pull_requests=44;issues=0,Unknown=2;Code for Africa=1;World Benchmarking Alliance=2;CodeForAfrica=2;nativecoders-se=1;fourbic=2;TeneryResearch=2;OpenFn=1;Financial Times=1,help wanted,9,,4,1.26,4.87,6.14,3.2,False,2,2,0,0,0,7300.3,6.0,18,44,2022-01-16T07:49:13+00:00,,,0,0,3.0,0.34,2092.0,2051.6,2636.8,2,government=0;academic=0;nonprofit=0;company=13;unknown=3,,,0.0263,4,5,0.4444,0.2222,0.2222
CodeForAfrica/openAFRICA,0.8824,2,2,0,0,code_commits=154;pull_requests=17;issues=0,Unknown=5;Code for Africa=2;TeneryResearch=1,good first issue;help wanted,9,,12,0.72,3.08,2.23,71.8,False,2,2,0,0,0,183.1,12.7,40,17,2024-04-05T08:22:09+00:00,2018-04-05T13:00:19+00:00,0.8,12,15,16.2,0.87,3623.6,3663.1,5001.5,5,government=0;academic=0;nonprofit=0;company=4;unknown=6,0.01,,0.0667,5,5,0.5,0.2,0.2
CodeForAfrica/outbreak.AFRICA,0.9207,2,2,2,26,code_commits=500;pull_requests=164;issues=0,CodeForAfrica=2;Code for Africa=2;Unknown=3;nativecoders-se=1,good first issue;help wanted,13,,3,1.89,17.56,33.25,,False,1,1,0,0,0,,12.8,0,100,2022-02-08T05:24:46+00:00,,,0,0,2.9,0.41,4381.6,4091.5,7555.7,3,government=0;academic=0;nonprofit=0;company=7;unknown=2,,,0.2914,3,3,0.5,0.4,0.4
CodeForAfrica/PromiseTracker,0.7791,1,1,1,6,code_commits=445;pull_requests=498;issues=0,Unknown=1;CodeForAfrica=1;codefor=2,good first issue;help wanted,15,,0,0.95,13.91,13.14,,False,1,1,0,0,0,50.0,0.1,68,100,2026-02-24T06:13:04+00:00,,1.0,1,1,0.2,0.69,9573.6,9573.6,5555.6,1,government=0;academic=0;nonprofit=0;company=4;unknown=1,0.01,,0.0387,1,5,0.1667,0.4,0.4
CodeForAfrica/sensors.AFRICA,0.7624,3,3,3,39,code_commits=500;pull_requests=303;issues=0,CodeForAfrica=5;Code for Africa=2;Unknown=8;codefor=1;nativecoders-se=1;OpenFn=1;TeneryResearch=2,good first issue;help wanted,15,,10,1.24,5.04,6.25,5.2,False,2,2,0,0,0,55.8,27.3,82,100,2025-08-26T12:26:32+00:00,2018-10-15T12:55:01+00:00,1.0,5,5,3.2,0.54,3391.7,3207.0,4452.3,8,government=0;academic=0;nonprofit=0;company=16;unknown=6,0.01,,0.0476,5,11,0.3125,0.175,0.175
CodeForAfrica/ui,0.8293,2,2,4,194,code_commits=10200;pull_requests=996;issues=0,anthropics=1;Unknown=7;zevolution-zm=1;Rewardops=1;Code For Africa=1;Code for Africa=1;nativecoders-se=1;codefor=1;CodeForAfrica=1,good first issue;help wanted,20,,2,1.22,17.37,21.25,8.1,True,2,2,3,6,10,12.1,0.4,100,100,2026-03-03T06:38:29+00:00,,0.7358,39,53,1.0,0.72,3009.3,2155.6,3931.3,7,government=0;academic=0;nonprofit=0;company=12;unknown=3,,,0.0121,3,3,0.5,0.6667,0.6667
